	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
PREPARADOS DE LEGUMBRES Y HORTALIZAS	25474.2	11994.2	2202.1	681.8	1650.8	886.7	2388.9	726	1664.9	1008.2	1902.7	1417.8	2243.5	1010.3	2451.1	1031.7	1726.8	1305.8	2306.5	919.9	2115.9	1180.8	2479.1	554.3	2342	1270.7
PREPARADOS DE FRUTAS	9535.6	3863.1	1248.5	217.4	791.8	203.1	662.2	438.6	290.6	327.6	590.7	303.2	576.6	277.3	969.2	304.3	991.5	231.4	776.2	362.9	1015.6	484.9	827.6	389.2	795.1	323.1
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	16745.1	4746.9	1202.9	533.2	1363.1	325.8	1803.8	988.8	1720.8	233.1	1150.4	354.5	1321.8	396.8	1157.6	283.6	1500.8	413.4	1701.7	205.1	1801.7	385.3	1092	319.5	928.5	307.9
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	128390.5	34962.8	7824.4	3725.6	10247.4	2785.8	11733.9	2228.2	9006.5	1727.2	10410.5	2865.3	10165.6	1567.3	12553.8	3608.5	13253	4881.7	9695.9	2597.7	12936.7	5048.9	10243.7	1930.3	10319.3	1996.4
PRODUCTOS FARMACEUTICOS	29410.1	2963	1357.7	232	2342.8	347.3	6638.9	238.5	1491	174.3	1803.9	235	3235.5	433.4	2186.1	356.5	1188.3	182	2952.4	166.3	2850.1	299.2	1883.7	115.2	1479.8	183.2
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	16728.7	9	1338.3	2.1	1144.7	1.3	1497.8	0	1317.9	0.1	1689.4	0	1441.9	0.5	1442.3	0	1206.3	0	1189.2	0	1346.2	0	1437.3	0	1677.3	5
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	4769.4	2225.5	361.5	107.8	401.3	237.1	362.7	206.7	269.4	215.1	563.6	247.3	329.9	155.4	321.2	224	219.6	177.3	510.7	129.1	592.6	159	333.8	187.9	503.1	178.8
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	9184.3	939.6	659.4	52.7	851.6	41	1013.8	130.9	695.1	56.7	507.2	77.8	798	64.4	901.5	84.2	675.2	97.1	863.2	89.9	759.1	96.5	748.7	54.7	711.5	93.5
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	765.3	135.5	154.9	7.9	71.2	5.9	64.7	4.5	64.2	3	51.2	7.2	47.4	6.1	42	13.4	37	16.2	41.8	15.9	92.9	27.9	54.5	15	43.6	12.5
TABACO ELABORADO	22.7	855	0.7	78.3	1.1	92.7	0.6	174.5	6.1	24.8	0.2	73.1	3	57.4	6.2	52.8	0.9	152.4	1.1	40.2	0	54.5	0.4	28.3	2.4	26.1
TUBERIA Y SUS ACCESORIOS	25916.8	374.8	2731.7	0	1356.1	7.1	2608.2	29.4	3314.5	279	2005.4	6.6	1443.4	0	2274.8	1	2240.8	0	2175.7	2.6	1721	0.1	1996.1	0.4	2049.3	48.6
VEHICULOS Y MATERIAL DE TRANSPORTE	344081.9	2079.8	23526.1	88.2	24071.9	100.6	31595.6	401.2	26213.7	100	26621.8	137.2	26114.7	237.8	28715.7	132.7	25846.7	197	32560.8	231.4	31490.3	73.5	28721.7	170.5	38602.9	209.7
VIDRIO Y SUS MANUFACTURAS	5164.3	1167.7	463.1	62.8	434	63.8	447.6	139.8	397.6	46.8	402.8	113.9	440.6	108.8	425	67.6	320.5	254.3	467.8	106	409.8	72.5	465.5	74.4	490.1	57
INDUSTRIAS EXTRACTIVAS	1069789.7	525046.6	74748.1	22866.1	77884.5	25973.8	53104	34891.7	66871.6	44232.5	68970.1	37165.8	89915.2	34667.7	96129	58965.8	68755.2	40073.7	59270.8	43953.6	133980.9	66193	119133.6	51423	161026.6	64639.9
