,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
GASOLINA,0,36.9,0,0,0,4.7,0,4.4,0,0,0,0,0,2.9,0,3,0,11.1,0,0.8,0,1.9,0,0.6,0,7.5
HIERRO Y ACERO,2.2,1401.6,0,133.8,0,197,0,31,0,260.2,0,143.9,0,94.8,0,0.3,0,116.1,0,99,0,64.3,0.2,86.9,2,174.2
MAGNESIO,0,17.8,0,0,0,0,0,0.4,0,4.1,0,0.2,0,0.2,0,3.3,0,0,0,5.2,0,1.8,0,0,0,2.6
NIQUEL,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0
OTROS DERIVADOS DE PETROLEO,0,1444.9,0,101.8,0,97.9,0,108.2,0,110.4,0,127.3,0,138.6,0,122.9,0,200.4,0,42.9,0,154.8,0,103.3,0,136.4
OTROS METALES COMUNES,0,4.3,0,0,0,1.6,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0.1,0,0,0,1.2
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,1473.6,0.3,0,0,361.3,0,375.8,0,566.4,0,170.1,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0
PLOMO,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,0,79.9,0,1.8,0,0.1,0,15.8,0,2.3,0,1.6,0,14.2,0,1.6,0,15.3,0,0.5,0,2.1,0,19.5,0,5.1
ZINC,0,4.1,0,1.5,0,0.3,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0.7,0,0.7,0,0,0,0.6
