	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
MANUFACTURAS DE PIELES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MANUFACTURAS DIVERSAS	20.4	1410.4	0	127.7	0.1	49	1.1	54.6	0	135.1	0.1	60.4	2.8	34.1	0	169.2	5.3	38.2	7.5	254.1	0	265.9	2.8	28.3	0.7	193.9
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	1	9447.6	0	1804.2	0	431.7	0.6	778	0.4	583.4	0	698.8	0	405	0	353.4	0	671.8	0	779.9	0	515.6	0	328.9	0	2097
MATERIALES PLASTICOS Y SUS MANUFACTURAS	174.3	1879	31.7	174.6	2.1	26.3	32.8	27.2	16	11.5	22.5	72.3	0.7	653.8	8.6	21.3	26.8	101.4	0.1	92.4	16.2	235.9	8	379.8	8.9	82.4
MATERIALES TEXTILES (TEJIDOS O TELAS)	30.6	418.6	0	2.5	0	4	0	8.8	0	1.8	30.4	11	0	152.6	0	5.7	0	65.8	0	9.4	0	2.1	0	85.5	0.2	69.4
MELAZAS DE AZUCAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOTA DE ALGODON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	0.4	69.6	0	38.9	0	0.7	0	0.5	0.4	3	0	1.7	0	0.9	0	4.6	0	12.1	0	0.9	0	2.4	0	2.7	0	1.2
NEUMATICOS Y TUBOS	0	8334	0	949	0	228	0	785.1	0	758.5	0	824.4	0	1045.6	0	888.4	0	857.3	0	524	0	551.4	0	425.2	0	497.2
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	82	413.4	0	17.4	0	23.5	0.7	34	0.2	25.8	0	19.3	0	7.8	0	98.8	0	18.4	0	76.3	0	29.3	0	20.9	81	41.9
OTROS ACEITES ESENCIALES	8.5	0	0	0	3.8	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0
PAPEL Y CARTON	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0
PESCADO Y MOLUSCOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIELES Y CUEROS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINTURAS Y BARNICES	0	123.4	0	0	0	0	0	0	0	18.4	0	0	0	12.6	0	10.4	0	0.6	0	34.2	0	28.8	0	0	0	18.4
"POLVORA, EXPLOSIVOS Y ARTICULOS DE PIROTECNIA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREPARADOS A BASE DE CEREALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
PREPARADOS DE LEGUMBRES Y HORTALIZAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREPARADOS DE FRUTAS	127.6	0	13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.2	0	43.2	0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	0	5791.3	0	855	0	574	0	677.7	0	29.5	0	1122.4	0	69.4	0	173.9	0	172.6	0	332.5	0	886	0	582.5	0	315.8
PRODUCTOS FARMACEUTICOS	0	735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	57.4	0	1.4	0	650.9	0	19.1	0	5.6
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS	0	13.6	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	0	8.2	0	0	0	0
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O"	3.7	0.8	0	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	1.9	0	1.5	0	0	0.6	0	0	0	0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS"	2	4.4	0	0	0	0	0.8	1.6	0.1	0	0	0.4	0	0	0	0	0.8	0.1	0	0	0	2.3	0.2	0	0	0
TABACO ELABORADO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TORTA DE SEMILLA DE ALGODON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBERIA Y SUS ACCESORIOS	0	61.7	0	19.5	0	0.9	0	1.7	0	1.7	0	22.1	0	0.6	0	1	0	0.2	0	1	0	6.8	0	5.7	0	0.6
VEHICULOS Y MATERIAL DE TRANSPORTE	59.1	154469.2	0.1	12426.1	0	9380.4	0	16652.5	0	11556	0	13942.8	0	11342.3	0	16915.6	0	12862.7	0	9864	59.1	11803.3	0	14808.5	0	12915.1
VIDRIO Y SUS MANUFACTURAS	1.2	311.2	0	20.9	0	24.3	0	36.7	0	19.8	0	27.8	0	24.4	0	26.4	0	35.6	1.1	23.2	0	13.5	0.1	30.3	0	28.3
