,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
PREPARADOS DE FRUTAS,0.00,47.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,46.60,0.00,0.00,0.00,0.00,0.00,0.00
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0.00,"2,407.40",0.00,379.50,0.00,251.70,0.00,141.40,0.00,127.10,0.00,149.80,0.00,279.50,0.00,155.60,0.00,152.50,0.00,226.30,0.00,136.30,0.00,201.70,0.00,206.00
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,"2,370.30","13,759.80",0.00,"1,102.70",327.70,677.70,327.80,973.10,327.80,"1,275.80",0.00,"1,400.70",658.40,"1,424.20",0.00,"1,317.10",0.00,803.00,0.00,"1,214.50",0.00,"1,254.90",0.10,"1,094.10",728.40,"1,222.00"
PRODUCTOS FARMACEUTICOS,0.00,"7,750.60",0.00,630.10,0.00,354.20,0.00,856.80,0.00,463.80,0.00,"1,015.30",0.00,955.70,0.00,959.20,0.00,951.30,0.00,582.60,0.00,154.60,0.00,612.10,0.00,214.90
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,0.00,212.20,0.00,6.70,0.00,10.50,0.00,21.30,0.00,0.40,0.00,26.80,0.00,1.00,0.00,14.90,0.00,79.60,0.00,0.00,0.00,16.10,0.00,0.00,0.00,35.00
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",3.60,73.90,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.30,0.00,0.00,1.30,0.00,0.70,37.00,1.40,5.20,0.20,0.00,0.00,1.10,0.00,22.30,0.00,2.50
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0.00,35.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.20,0.00,5.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,27.40
"SOMBREROS, PARAGUAS, TAPASOLES, OTROS",0.00,59.80,0.00,0.00,0.00,0.30,0.00,0.50,0.00,23.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,35.50,0.00,0.10,0.00,0.10,0.00,0.00
TUBERIA Y SUS ACCESORIOS,54.70,850.40,0.00,157.30,0.00,123.00,0.00,88.90,0.00,56.90,0.00,50.90,0.00,91.20,54.70,71.10,0.00,42.10,0.00,27.60,0.00,75.20,0.00,31.60,0.00,34.70
VEHICULOS Y MATERIAL DE TRANSPORTE,10.40,"16,112.30",0.00,"2,964.80",8.60,"1,080.80",0.00,593.50,0.00,417.20,0.00,"1,434.90",0.80,"1,302.50",0.40,785.60,0.50,"1,667.30",0.00,949.00,0.00,"2,565.60",0.00,"1,206.30",0.00,"1,144.70"
VIDRIO Y SUS MANUFACTURAS,3.50,"2,826.90",0.10,55.70,0.00,16.20,0.10,128.50,0.00,175.90,0.00,109.20,0.60,47.50,0.40,99.20,2.20,153.30,0.00,152.00,0.00,169.70,0.00,249.20,0.00,"1,470.30"
INDUSTRIAS EXTRACTIVAS,"9,682.80","7,729.00",738.50,437.60,540.60,386.10,517.10,573.30,894.10,235.80,621.80,"1,023.90",650.20,397.10,670.50,978.60,767.60,551.30,"1,064.40","1,040.30",941.90,350.70,"1,508.70",211.90,767.40,"1,542.40"
ALUMINIO,"7,466.90",749.60,566.40,54.60,373.90,12.60,337.90,112.60,711.30,34.40,446.90,217.60,476.80,0.4,497.10,49.2,582.10,137.6,878.50,7.3,745.70,53.3,"1,302.80",35.7,547.50,34.60
ASFALTO,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00
COBRE Y SUS MANUFACTURAS,0.00,38.30,0.00,14.30,0.00,0.00,0.00,0.00,0.00,0.60,0.00,13.50,0.00,0.00,0.00,0.50,0.00,0.20,0.00,0.00,0.00,8.40,0.00,0.90,0.00,0.00
GASES INDUSTRIALES,0.00,2.60,0.00,0.00,0.00,0.00,0.00,1.40,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HIERRO Y ACERO,0.00,"5,001.50",0.00,159.40,0.00,51.00,0.00,406.60,0.00,30.40,0.00,520.10,0.00,92.40,0.00,868.90,0.00,331.00,0.00,926.30,0.00,126.90,0.00,28.80,0.00,"1,459.80"
