	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
INDUSTRIAS EXTRACTIVAS	9027.5	3032	835.3	490.4	1172.5	785.3	689	342.7	363.3	83.9	779.4	196.5	533.4	174.8	752.6	150.8	512.9	155.4	658.9	128.7	999.9	154.8	905.3	116	824.9	252.5
ALUMINIO	3594.8	82.8	303.7	3.4	335.1	19.8	333.4	1.3	80.6	4.5	414	2.4	213.2	18.7	319.9	5.9	200.8	7.8	257	2.5	375.9	6.9	402.5	5	358.7	4.7
ASFALTO	0	0.6	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEMENTO	437.7	18.4	0	0	437.7	0.5	0	0	0	0	0	5.6	0	0	0	5.4	0	1.4	0	0	0	5.4	0	0.1	0	0
COBRE Y SUS MANUFACTURAS	32.5	15.3	1.1	7.3	0	0	1.5	0	0.9	0	0	0	3.5	0	3.3	1.9	1	6.1	19.7	0	0.6	0	0.9	0	0	0
DESPERDICIOS Y DESECHOS DE METALES (CHATARRA)	3220.4	0	286.6	0	291.5	0	305.8	0	168.7	0	260.4	0	238.1	0	278.9	0	259.8	0	280.6	0	320.6	0	296.3	0	233.1	0
GASES INDUSTRIALES	251.3	18.2	44.4	16.4	24.1	0	5.8	0	8.4	0	12.5	0.9	20.3	0.8	6.7	0	33.9	0	6.6	0	44.8	0	17.3	0	26.4	0
HIERRO Y ACERO	1148.6	1239.2	159.2	322.2	57.5	611.7	35.6	185.7	91.4	0.9	55.5	43.5	31.7	8.8	131.5	0.3	9.2	0	84.9	5.9	166.5	8.6	133.6	0	191.9	51.6
MAGNESIO	0	31.7	0	2	0	6.6	0	3	0	1	0	5.1	0	0	0	2.6	0	6.5	0	4.9	0	0	0	0	0	0
MARMOL	0	77.5	0	5.4	0	10.7	0	15	0	7	0	20.7	0	0	0	2.7	0	7.5	0	0.6	0	2.9	0	0.6	0	4.5
OTROS DERIVADOS DE PETROLEO	70.9	300	0	12.8	0.5	13.2	1.9	14.5	3.9	14.4	20.1	16.8	0.7	24.9	2.1	16.6	3.5	17	0	17.8	0	23.5	38.2	21.4	0	107
OTROS METALES COMUNES	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	4.5	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODUCTOS MINERALES DIVERSOS	202.2	1248.3	27.5	120.3	23.4	122.8	0.8	123.1	4.4	56.1	0.1	101.5	17	121.6	6.7	115.4	1.9	109.1	9	97	87.7	107.7	11.3	88.9	12.4	84.8
ZINC	64.4	0	12.5	0	2.7	0	4.1	0	5	0	16.8	0	4.4	0	3.5	0	2.9	0	1.1	0	3.8	0	5.2	0	2.5	0
